弹幕内容
痛！太痛了！,
痛！太痛了,
女的可爱,
啊，焯！我好酸啊，不过要幸福呀！,
幸福！,
双向爱情呜呜呜,
哈哈哈哈哈 真实,
结婚没到，先给两个硬币,
痛，太痛啦！,
痛，太痛了！,
太甜了，大叔祝你们幸福,
要幸福吖～,
看到现在80%都是单身，慕了,
卧槽5610卡表，投币了,
痛，太痛了！！！,
好甜啊,
我也不李姐！！,
痛！太痛了！,
呜呜呜呜我好痛啊,
痛，太痛了！,
看到中山人爱情就觉得甜,
你们~要幸福啊,
痛，太痛了！,
s三连助力每一对情侣,
痛！太痛了！！,
痛！太痛了,
痛，太痛了！,
痛！太痛了！,
我不李姐！！！,
扔两个币随份子了,
痛！太痛了！,
我老婆是高中对面班的~,
龙山！！！哈哈哈哈哈救命,
大三了，还是喜欢高中的一个男孩子，但又知道没有在一起的可能，焯！,
痛，太痛了！,
痛，太痛了！,
痛！太痛了,
痛！太痛了,
痛，太痛了！,
助力每一个梦想,
太甜了,
助力每一个梦想,
最后给各位来个暴击哈哈哈哈,
啊，羡慕up ,
痛！太痛了！,
太甜了,
 ????? ,
痛，太痛了！！！,
超！我的心好痛,
痛，太痛了！,
祝你幸福！！！！,
这好像是星辰花园吧哈哈哈哈,
好甜啊啊啊,
太直接了，两个大直球啊哈哈哈,
呜呜呜羡慕了,
痛！太痛啦！,
痛！太痛了！,
bgm一响 额滴那个心呐 呜呜呜呜呜,
很蓝的呀！,
哈哈哈哈哈哈哈马赛克 他只是个马赛克,
扔两个硬币随份子,
贴心~甜蜜~,
恭喜恭喜，百年好合,
我和我高中喜欢的女生在一起了 到现在11年了,
助力每一个梦想。,
痛 甜,
码打了个寂寞哈哈哈哈哈哈哈,
卧槽我和我对象初中同学高中校友，兜兜转转也是大二在一起的！像做梦一样,
《真的可以吗！！！》,
太直接了，两个大直球啊哈哈哈,
呜呜呜羡慕死我了，一定要幸福,
没人会知道我喜欢方彩雪！,
太甜了吧,
一定要甜甜的幸福下去哦,
祝福祝福！太甜了，太直接了！,
好感动好甜555,
好甜,
甜甜的,
痛，太痛啦！,
我也是高中，然后大二在一起,
麻麻鸭好羡慕啊啊啊啊!!!,
为什么我要点进来看。。。难受,
投币随份子,
cao,
刚起床 真好,
恋爱的酸臭味,
？？？,
焯,
？？？淦,
以太伊呦！一袋伊呦！,
我靠，蚌埠住了,
满地狗粮~~~,
痛,
rnm,msr
彻骨伤,
我居然在笑,
RNM 陌生人,
会不会太直接了，刚在一起就……,
不李姐,
？？？？,
祝幸福，滚吧,
焯，太痛了,
hhhhhhhhh,
hhhhhhh,
卧槽,
祝福这个b,
也就第一次见面这样,
好耶！,
匍匐前进,
md好暖,
我和高中时喜欢的女孩子在一起了,
一定要幸福啊,
?????????????????????????,
祝福你啊！,
痛！！！！！太痛了,
这踏马的也行,
虾仁还要猪心,
蹭蹭欧气，愿我喜欢的那个女孩子也在偷偷喜欢着我,
祝福你们白头偕老～,
演的吧,
？,
我走了，窝不打扰了,
RNM陌生人,
早生贵子,
呜呜，为什么我就不会这招,
在伊拉克打仗也没受过这样的内伤,
这是为何？,
梅州人吧,
让我们恭喜这个b,
无效打码,
卧槽了,
焯！,
啊我绷不住了,
杰伦,
焯,
退钱,
焯！,
b gm是啥,
要一直一直在一起啊,
恭喜恭喜,
焯,
你老妹,
臭小子,
嘴角上扬,
我不理解啊啊啊啊啊啊,
投2个币了！,
？？,
淦！,
？？？？？？？？,
我躲在车底 ,
他麻德,
rnm退钱,
祝福,
啊啊啊啊啊啊啊啊啊,
女生好白头发太长了,
男生好黑头发太短了,
呜呜呜,
我靠中山的吗？同城,
叼惹米？,
rnm,
一百多天高考了还看这个,
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,
非正常拍摄（,
老子血压有点高，我快不行了,
要好好珍惜,
哈哈哈哈哈哈,
恭喜恭喜,
rnm陌生人,
焯！,
我超，真的可以吗？！！,
祝福！,
我擦,
？,
卧槽！！！幸福，祝福,
rnm！陌生人！,
你看，你在笑,
rnm陌生人,
？？？,
马拉个币的，恭喜你,
汪汪汪,
汪汪汪,
rnm陌生人祝福你,
?????,
反对,
我敲 介么快kiss,
杀了我 给他俩助助兴,
我高中喜欢的人没有缘分继续了,
rnm,
随两个硬币的份子钱,
RNM,陌生人
焯！,
[ohhhh],
币拿走！,
[ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh],
祝福你们！,
带着老子的祝福，滚,
退币,
连她来见你都是用跑的,
羡慕,
我和高中喜欢的女孩子在一起马上十一年了，孩子也马上一岁了,
可恶啊,
硬币祝你们幸福,
9999999,
可恶,
不可能，假的,
恭喜这个b拿下一分,
？,
恭喜,
？？？？,
恭喜这个B,
杀狗啦！,
握草,
rnm陌生人,
？？,
焯,
淦啊,
祝幸福,
哎呀我去,
我透,
恭喜恭喜,
愿你们幸福,
兴中广场的摩天轮？哈哈哈,
我不理解，为什么把我骗进来杀,
羡慕死了,
退钱,
dongmc我爱你,
恭喜这个b，然后还有没死的狗请杀了我谢谢,
董沐辰,
中山佬,
我也要,
焯！！！,
？这么快啊,
一定要幸福！,
痛，太痛了,
今晚做梦素材有了,
啊这，这都能刷到自己高中的师弟师妹,
焯！,
rnm  退钱,
这就？？？,
凯茵。。,
竟敢勾起我一生的残念？,
？？？,
我也扔两个币当随礼了,
退钱,
长按为up加速,
很羡慕，但是祝福你们,
祝福,
rnm陌生人，带着爷的祝福滚,
全路段禁停很显然该车违章了,
痛,
焯,
非 正 常 拍 摄（doge,
沃德发？恶心,
祝幸福，我也是直球找到了她,
好好的,
恭喜,
退钱！,
祝愿一直在一起,
恭喜,
如果脱单这么简单，为什么中国人口会负增长？,
非正常拍摄,
卧槽,
rnm陌生人祝你们幸福,
两个币当份子钱。,
太狗了,
？,
粤T？？？,
2000+正在观看是吧,
卧槽！？！？！,
