用户名称,评论时间,评论内容
什么事都让我分心,2016年4月13日,上个月你结婚了，新娘和你很般配，嗯。你从当年的小男生长成了大男孩。亲她的时候，我突然想起高二那个中午，你偷亲我，你不知道的是，其实当时我没有睡着。现在我也有了女朋友，准备明年结婚了，祝彼此幸福。
吴繁繁,2015年7月12日,枕在奶奶腿上听这首歌，奶奶七十多，像个好奇宝宝一样用手指小心地划着我的手机屏幕，看看歌词看看封面，把手机凑近耳朵听。时间是让人猝不及防的东西。
jjjkkklllmmm,2016年5月13日,刚进大学寝室的时候，发现床板上有人用记号笔画了一张请假条，请假原因是毕业，离校时间是6.20，返校时间是永不。 其实老师唯一没骗我们的一句话就是
南说哦,2017年5月21日,大家都说我的性子很慢，其实我也可以很快 比如，后面有狗追我 或者，你在前面等我
_时光慢点_VI,2015年2月9日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
刘家鑫很蠢,2016年4月26日,"逛留言板上看到的一句话 ""我对你这么好 你却总这样不冷不热的 可我毫无办法 谁叫一开始主动的人是我 偶尔也会想想 当我终于消失在追逐你的长途里 某个夜里你的手机微微一震 你会不会恍然地以为 还是我给你的温柔""一个恍惚瞬间戳到泪点。"
_鱼几,2017年10月11日,妈妈乳腺癌晚期已经坚持了2年了，妈妈每次的放疗副作用都非常大，看见她难受我也难受！可我也才12岁啊，我不知道妈妈能陪我多久，但是我会永远陪她走下去，永远永远……不管有多少来生我都只要这一个妈❤️
Ri-oseco,2016年1月11日,一个人久了，煮个饺子看见两个粘在一起的也要给它分开！
米哥ice,2017年4月25日,等有资格结婚了，我要嫁给一个很平易近人的男人，他没有大大的啤酒肚，没有地中海似的大光头，没有鸡毛蒜皮都计较的小心眼，也没有莫名其妙就爆发的坏脾气，他要喜欢运动，充满男子气，他要喜欢唱歌就算走调让我哭笑不得，他要捧着我的脸说娶到你真是我的福气。
陈随性,2014年12月18日,"我无所事事得厉害,所以感觉到时间的拖泥带水。但是奇怪的是,它虽然来得缓慢,但去的飞快。当我回头看看的时候,已经记不得昨天做的事情。最主要的原因是我昨天没有做什么事情。 —— 一座城池"
脚气水,2014年12月14日,"时间何尝不是小偷
偷走了多少珍贵
换来的只是自己再也见不到的遗憾"
张国荣与猫,2016年5月30日,高二年刚开学的时候班主任让我们每人写一封信给两年后的自己。今天收到了那封信，信的第一句话是
Rukkran,2015年12月5日,时间是让人租不起房的东西
受兽,2018年2月23日,"唐朝的离婚书是这样写的
“ 愿娘子相离之后， 重梳婵鬓美扫峨眉 ，巧呈窈窕之姿 ，选聘高官之主 ，解怨释结更莫相憎 ，一别两宽各生欢喜 ”"
音乐人陈宏,2019年3月8日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
Skkkkkk_b,56分钟前,去见罗老师
想名真费劲,19:39,整得我有点猝不及防
渡口桥,19:38,加油！
蓝色忧郁瞄,19:38,时间真的能偷走一切，对不起。。。15年了，我已经真的放下你了啊，对不起对不起[多多大哭][多多大哭][多多大哭]
killer_江户川,19:36,我很想你们
柯艾梦s,19:35,为什么不[多多大笑]
哒哒溜溜哒,19:14,马上12月了
用户名称,评论时间,评论内容
什么事都让我分心,2016年4月13日,上个月你结婚了，新娘和你很般配，嗯。你从当年的小男生长成了大男孩。亲她的时候，我突然想起高二那个中午，你偷亲我，你不知道的是，其实当时我没有睡着。现在我也有了女朋友，准备明年结婚了，祝彼此幸福。
吴繁繁,2015年7月12日,枕在奶奶腿上听这首歌，奶奶七十多，像个好奇宝宝一样用手指小心地划着我的手机屏幕，看看歌词看看封面，把手机凑近耳朵听。时间是让人猝不及防的东西。
jjjkkklllmmm,2016年5月13日,刚进大学寝室的时候，发现床板上有人用记号笔画了一张请假条，请假原因是毕业，离校时间是6.20，返校时间是永不。 其实老师唯一没骗我们的一句话就是
南说哦,2017年5月21日,大家都说我的性子很慢，其实我也可以很快 比如，后面有狗追我 或者，你在前面等我
_时光慢点_VI,2015年2月9日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
刘家鑫很蠢,2016年4月26日,"逛留言板上看到的一句话 ""我对你这么好 你却总这样不冷不热的 可我毫无办法 谁叫一开始主动的人是我 偶尔也会想想 当我终于消失在追逐你的长途里 某个夜里你的手机微微一震 你会不会恍然地以为 还是我给你的温柔""一个恍惚瞬间戳到泪点。"
_鱼几,2017年10月11日,妈妈乳腺癌晚期已经坚持了2年了，妈妈每次的放疗副作用都非常大，看见她难受我也难受！可我也才12岁啊，我不知道妈妈能陪我多久，但是我会永远陪她走下去，永远永远……不管有多少来生我都只要这一个妈❤️
Ri-oseco,2016年1月11日,一个人久了，煮个饺子看见两个粘在一起的也要给它分开！
米哥ice,2017年4月25日,等有资格结婚了，我要嫁给一个很平易近人的男人，他没有大大的啤酒肚，没有地中海似的大光头，没有鸡毛蒜皮都计较的小心眼，也没有莫名其妙就爆发的坏脾气，他要喜欢运动，充满男子气，他要喜欢唱歌就算走调让我哭笑不得，他要捧着我的脸说娶到你真是我的福气。
陈随性,2014年12月18日,"我无所事事得厉害,所以感觉到时间的拖泥带水。但是奇怪的是,它虽然来得缓慢,但去的飞快。当我回头看看的时候,已经记不得昨天做的事情。最主要的原因是我昨天没有做什么事情。 —— 一座城池"
脚气水,2014年12月14日,"时间何尝不是小偷
偷走了多少珍贵
换来的只是自己再也见不到的遗憾"
张国荣与猫,2016年5月30日,高二年刚开学的时候班主任让我们每人写一封信给两年后的自己。今天收到了那封信，信的第一句话是
Rukkran,2015年12月5日,时间是让人租不起房的东西
受兽,2018年2月23日,"唐朝的离婚书是这样写的
“ 愿娘子相离之后， 重梳婵鬓美扫峨眉 ，巧呈窈窕之姿 ，选聘高官之主 ，解怨释结更莫相憎 ，一别两宽各生欢喜 ”"
音乐人陈宏,2019年3月8日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
Skkkkkk_b,19:50,去见罗老师
想名真费劲,19:39,整得我有点猝不及防
渡口桥,19:38,加油！
蓝色忧郁瞄,19:38,时间真的能偷走一切，对不起。。。15年了，我已经真的放下你了啊，对不起对不起[多多大哭][多多大哭][多多大哭]
用户名称,评论时间,评论内容
什么事都让我分心,2016年4月13日,上个月你结婚了，新娘和你很般配，嗯。你从当年的小男生长成了大男孩。亲她的时候，我突然想起高二那个中午，你偷亲我，你不知道的是，其实当时我没有睡着。现在我也有了女朋友，准备明年结婚了，祝彼此幸福。
吴繁繁,2015年7月12日,枕在奶奶腿上听这首歌，奶奶七十多，像个好奇宝宝一样用手指小心地划着我的手机屏幕，看看歌词看看封面，把手机凑近耳朵听。时间是让人猝不及防的东西。
jjjkkklllmmm,2016年5月13日,刚进大学寝室的时候，发现床板上有人用记号笔画了一张请假条，请假原因是毕业，离校时间是6.20，返校时间是永不。 其实老师唯一没骗我们的一句话就是
南说哦,2017年5月21日,大家都说我的性子很慢，其实我也可以很快 比如，后面有狗追我 或者，你在前面等我
_时光慢点_VI,2015年2月9日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
刘家鑫很蠢,2016年4月26日,"逛留言板上看到的一句话 ""我对你这么好 你却总这样不冷不热的 可我毫无办法 谁叫一开始主动的人是我 偶尔也会想想 当我终于消失在追逐你的长途里 某个夜里你的手机微微一震 你会不会恍然地以为 还是我给你的温柔""一个恍惚瞬间戳到泪点。"
_鱼几,2017年10月11日,妈妈乳腺癌晚期已经坚持了2年了，妈妈每次的放疗副作用都非常大，看见她难受我也难受！可我也才12岁啊，我不知道妈妈能陪我多久，但是我会永远陪她走下去，永远永远……不管有多少来生我都只要这一个妈❤️
Ri-oseco,2016年1月11日,一个人久了，煮个饺子看见两个粘在一起的也要给它分开！
米哥ice,2017年4月25日,等有资格结婚了，我要嫁给一个很平易近人的男人，他没有大大的啤酒肚，没有地中海似的大光头，没有鸡毛蒜皮都计较的小心眼，也没有莫名其妙就爆发的坏脾气，他要喜欢运动，充满男子气，他要喜欢唱歌就算走调让我哭笑不得，他要捧着我的脸说娶到你真是我的福气。
陈随性,2014年12月18日,"我无所事事得厉害,所以感觉到时间的拖泥带水。但是奇怪的是,它虽然来得缓慢,但去的飞快。当我回头看看的时候,已经记不得昨天做的事情。最主要的原因是我昨天没有做什么事情。 —— 一座城池"
脚气水,2014年12月14日,"时间何尝不是小偷
偷走了多少珍贵
换来的只是自己再也见不到的遗憾"
张国荣与猫,2016年5月30日,高二年刚开学的时候班主任让我们每人写一封信给两年后的自己。今天收到了那封信，信的第一句话是
Rukkran,2015年12月5日,时间是让人租不起房的东西
受兽,2018年2月23日,"唐朝的离婚书是这样写的
“ 愿娘子相离之后， 重梳婵鬓美扫峨眉 ，巧呈窈窕之姿 ，选聘高官之主 ，解怨释结更莫相憎 ，一别两宽各生欢喜 ”"
音乐人陈宏,2019年3月8日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
Skkkkkk_b,19:50,去见罗老师
想名真费劲,19:39,整得我有点猝不及防
渡口桥,19:38,加油！
蓝色忧郁瞄,19:38,时间真的能偷走一切，对不起。。。15年了，我已经真的放下你了啊，对不起对不起[多多大哭][多多大哭][多多大哭]
killer_江户川,19:36,我很想你们
柯艾梦s,19:35,为什么不[多多大笑]
哒哒溜溜哒,19:14,马上12月了
哈哈篮球,18:39,
半人玖1907,18:34,错过了就祝彼此幸福吧
阙升雪,18:29,人海十万里，谁可善待你。
浅漓ql,18:14,一切都结束 各自安好 再见
和祁正恋爱,17:36,我喜欢短发 但长发适合我 我的意思是在喜欢面前合适更重要
其实是香水,17:36,祝你好运。我在或许在北矿等你
的确很有趣,17:36,握紧的 当然不会放
我只想打空白为何这么难,17:19,我评论一句，🐻好大 不知道有没有以前的评论人懂得呢
来摘棉花吧,16:52,歌词和歌声不同步啊嘞
布朗尼小傲,16:30,要有多无奈才能祝她一定要幸福
一杯冰美式丶3,15:54,"把左手 把右手
大拇指 往这划 大拇指
放这里 放这里
然后你会发现右下方有一个白色的小人拥抱了一个红色的小人"
lyj是你的诶,15:32,全是心酸而已
生活很美好因为有你在,14:54,不遗憾是你的终究是你的，你说有些东西你多么小心而他们就一句敷衍过去了你甘心吗。
等风热吻你_OLtD,昨天23:22,小时候亲一下不代表是那个
大不绿,昨天23:08,如果时间回到去年六月，绝对不会选择异地，才不至于现在就这么走散了。嘴上说无所谓，可是泪在心里流啊。
Sco祝我开心,昨天23:05,EDG也夺冠了 你错过了好多
爱天乐_AgPC,昨天23:05,今年是2021年11月29啦
婷婷瘦了40斤,昨天22:57,您四岁了，听不听话呢，该上幼儿园了吧，我想您了，下辈子还能遇见您吗？
Lu_Jade,昨天22:54,多想回到6年前
人间遗憾未解,昨天22:45,现在我高三听这首歌
艾辰200620,昨天22:29,GEY
不恋爱小日记,昨天22:13,这句话是真的是这样的，就算是遗憾至少我们遇见了，但是遗憾的是我们没有我们想要的未来
静jing要优秀,昨天21:59,费了。我们大家都很失落。老师没有告诉我们最后是选一个人出来，我们想要一起上台。我觉得我们的组合很完美，也许老师不这么认为吧。最后我们连参加海选的机会都没有……
静jing要优秀,昨天21:57,学校有迎新晚会，要选拔节目。每个班出两个唱歌的节目。我们班有几个男生和几个女生，分别出一个节目。我和几个最好的姐妹想一起参加。我们一起努力练歌，一起抠细节。做好了一切的准备。在海选前在班主任面前唱了一遍，班主任最后就让我们其中的一个人去了。我们之前一起练的和声，一起搭配的合唱都白
暴躁的美女_,昨天21:47,edg夺冠了
琦琦琦琦琦e,昨天21:46,那是我最后悔的二个月 也是我最开心的二个月 一起打扑克 到处吸烟 那是我做梦都想回去的日子.真的好想和你在一起喆.
是建国同志,昨天21:34,今天是分手的第45个月零25天，天气阴很冷，下雨了，很想你。
小强AACC,昨天21:24,l？我是哑巴新娘不是我
犬夜叉烧包_pR7a,昨天21:07,我是呆
为欢几何lh,昨天20:55,大学自习课上写着概论题，这首歌把我拉回高三岁月，也是这样自习课写作业，听着mp3而不是手机，那是一种自由的感受。现在听来就是对高三的怀念。
NM_海盐,昨天20:46,有时候站在讲台，看着眼前的黑板，背后的37个同学，心里总再想着，也就一百来天了，还能再陪他们疯多久呢
漫无止境的六月,昨天19:53,这首歌好像变长了，跟以前的不一样了
宋丝思,昨天19:32,两年前，你我相遇，短暂的接触与了解，我们终究是彼此的过客，你有你的潇洒，我有我的孤寂，咱们不会再见了👋
d大猪z,昨天00:03,高中午睡铃声
小郭要努力变强,11月28日 23:36,加油啊！咱们大临沂人必须行
知道起名有多难么,11月28日 23:34,要努力生活哦。听过一句话，地上的人一个一个走，天上的人一个一个接，最终他们还会是一家人。
携一人终老-,11月28日 23:28,虽然已经分手了，我还是希望你幸福！未来可期，适合你的，好的人正在等你，不要对感情失去希望，永远报以热情，那人就在路上，慢慢靠近了
风吹过我们那一章了,11月28日 23:20,青春总会有遗憾的，或许我们都该向前看
苏温晴-许愿世界和平,11月28日 22:54,小时候 我经常偷奶奶的钱 有一天我问奶奶
长颈鹿和兔纸,11月28日 22:40,知道每个人都是阶段性陪伴，日子就过得很随意了。
-小茹w,11月28日 22:32,"你喜欢上了一个新女孩
那女生跟你一个学校
你们随时都可以见面
现在好了
你再也不用为了见我一面等五六个月了"
一口一榴莲,11月28日 22:24,我到23岁才意识到那个喜欢喂我喝一小杯白酒的老头是我爷爷，而我却在酒席上吃的很开心，那个草帽子原来是长孙才能带
cico_6N,11月28日 22:23,6年级毕业时唱的怎么过的那么快一下就初三了
好喜欢藍色i,11月28日 22:14,今天钟鑫瑞又让我哭了
用户_6324326607,11月28日 22:09,好好听(ง •̀_•́)ง
万物仍不及你,11月28日 21:57,唐朝的离婚仅存于同为名门望族
万物仍不及你,11月28日 21:55,唐朝可和现在不一样，只有男女同为名门望族才有可能是离婚，唐朝的男人把女人休了只是一句话的事，也就是所谓的一纸休书，而且女的什么都拿不走，给女的东西的也算是有良心了
姜靈犀,11月28日 21:24,“農濃農彌爾繹撥臥藉癮鉤徵我錄識釋爱獅幫 你嶺額劇錄聞寧機興櫃體总有你认识的三个字.”
哥百眸予,11月28日 21:04,真的最近我也是经常发生 要不就是“放心我看不上你”在这之前我并没有说他是否对我有好感或我喜欢他相关的话题就很难受，还有就是“你怎么变得这么丑”顿时不想说话，，。。
QS陌月_烟云,11月28日 21:03,有些事你不要非一定知道，因为知道了会后悔.会伤心.会emo。
