用户名称,评论时间,评论内容
什么事都让我分心,2016年4月13日,上个月你结婚了，新娘和你很般配，嗯。你从当年的小男生长成了大男孩。亲她的时候，我突然想起高二那个中午，你偷亲我，你不知道的是，其实当时我没有睡着。现在我也有了女朋友，准备明年结婚了，祝彼此幸福。
吴繁繁,2015年7月12日,枕在奶奶腿上听这首歌，奶奶七十多，像个好奇宝宝一样用手指小心地划着我的手机屏幕，看看歌词看看封面，把手机凑近耳朵听。时间是让人猝不及防的东西。
jjjkkklllmmm,2016年5月13日,刚进大学寝室的时候，发现床板上有人用记号笔画了一张请假条，请假原因是毕业，离校时间是6.20，返校时间是永不。 其实老师唯一没骗我们的一句话就是
南说哦,2017年5月21日,大家都说我的性子很慢，其实我也可以很快 比如，后面有狗追我 或者，你在前面等我
_时光慢点_VI,2015年2月9日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
刘家鑫很蠢,2016年4月26日,逛留言板上看到的一句话 "我对你这么好 你却总这样不冷不热的 可我毫无办法 谁叫一开始主动的人是我 偶尔也会想想 当我终于消失在追逐你的长途里 某个夜里你的手机微微一震 你会不会恍然地以为 还是我给你的温柔"一个恍惚瞬间戳到泪点。
_鱼几,2017年10月11日,妈妈乳腺癌晚期已经坚持了2年了，妈妈每次的放疗副作用都非常大，看见她难受我也难受！可我也才12岁啊，我不知道妈妈能陪我多久，但是我会永远陪她走下去，永远永远……不管有多少来生我都只要这一个妈??
Ri-oseco,2016年1月11日,一个人久了，煮个饺子看见两个粘在一起的也要给它分开！
米哥ice,2017年4月25日,等有资格结婚了，我要嫁给一个很平易近人的男人，他没有大大的啤酒肚，没有地中海似的大光头，没有鸡毛蒜皮都计较的小心眼，也没有莫名其妙就爆发的坏脾气，他要喜欢运动，充满男子气，他要喜欢唱歌就算走调让我哭笑不得，他要捧着我的脸说娶到你真是我的福气。
陈随性,2014年12月18日,"我无所事事得厉害,所以感觉到时间的拖泥带水。但是奇怪的是,它虽然来得缓慢,但去的飞快。当我回头看看的时候,已经记不得昨天做的事情。最主要的原因是我昨天没有做什么事情。 —— 一座城池"
脚气水,2014年12月14日,"时间何尝不是小偷
偷走了多少珍贵
换来的只是自己再也见不到的遗憾"
张国荣与猫,2016年5月30日,高二年刚开学的时候班主任让我们每人写一封信给两年后的自己。今天收到了那封信，信的第一句话是
Rukkran,2015年12月5日,时间是让人租不起房的东西
受兽,2018年2月23日,"唐朝的离婚书是这样写的
“ 愿娘子相离之后， 重梳婵鬓美扫峨眉 ，巧呈窈窕之姿 ，选聘高官之主 ，解怨释结更莫相憎 ，一别两宽各生欢喜 ”"
音乐人陈宏,2019年3月8日,"听歌的时候，旋律永远是第一感觉，然后才是歌词，歌词过后才是细节。
就像读小说，一开始只对剧情感兴趣，慢慢你开始琢磨小说中的人物，最后才发掘小说的内涵。"
阙升雪,3分钟前,人海十万里，谁可善待你。
浅漓ql,19分钟前,一切都结束 各自安好 再见
和祁正恋爱,56分钟前,我喜欢短发 但长发适合我 我的意思是在喜欢面前合适更重要
其实是香水,56分钟前,祝你好运。我在或许在北矿等你
的确很有趣,56分钟前,握紧的 当然不会放
我只想打空白为何这么难,17:19,我评论一句，?好大 不知道有没有以前的评论人懂得呢
来摘棉花吧,16:52,歌词和歌声不同步啊嘞
布朗尼小傲,16:30,要有多无奈才能祝她一定要幸福
一杯冰美式丶3,15:54,"把左手 把右手
大拇指 往这划 大拇指
放这里 放这里
然后你会发现右下方有一个白色的小人拥抱了一个红色的小人"
lyj是你的诶,15:32,全是心酸而已
生活很美好因为有你在,14:54,不遗憾是你的终究是你的，你说有些东西你多么小心而他们就一句敷衍过去了你甘心吗。
挽云枝,13:15,从什么时候开始你怎么变成爱哭鬼啦 是啊 从什么时候开始的
zxklyj,12:47,一起加油
路仔大大,12:13,新买的润唇膏是小时候泡泡糖的味道，以后我要买给我对象，嘿嘿。
灰色山雀,11:43,"努力也再抓不住了
或许不久后的将来，我会真的放下"
月下栀子开,11:23,慢慢的，勾起一段珍藏的回忆~
慕楠笙枳,11:04,加油 祝你考研成功上岸
Suckerforyou222,10:51,时间真的很快，距离2022研究生考试还有24天了，一年的辛苦希望都不要白白付出，这一年经历了很多，希望我希望的不止是希望?
稚嫩oo,10:23,当然啦
稚嫩oo,10:22,现在是2021年11月30号
