标题,价格,评论数量,店铺名称,详情,标签
戴思一次性医用口罩透气轻薄成人3层医用口罩50只 独立包装,29.90,50万+,戴思（DAISI）京东自营旗舰店,https://item.jd.com/100009140187.html,自营
恩惠医疗100只（每10只独立包装/袋*10）成人医用外科口罩灭菌级保暖男女防细菌防粉尘防沙尘暴10只/袋*10,21.80,50万+,ENVΛE京东自营旗舰店,https://item.jd.com/100018298698.html,"自营,放心购,券300-40"
京东超市稳健（Winner）医用外科口罩50只/盒 三层防护含熔喷层防细菌花粉 细菌过滤率大于95% 抽取式盒装设计,18.90,50万+,稳健京东自营旗舰店,https://item.jd.com/100015108584.html,"自营,赠"
folca100只（每10只独立包装/袋*10）医用外科口罩成人灭菌型三层防护含熔喷布阻菌隔沫（二类医疗器械）,19.99,20万+,folca口罩京东自营旗舰店,https://item.jd.com/100016921672.html,"自营,放心购,券300-40"
维德医疗 一次性医用外科口罩100只无菌级防沙尘暴防飞沫口罩透气清薄三层挂耳式10只*10袋,21.80,100万+,维德（WELLDAY）京东自营旗舰店,https://item.jd.com/100027045384.html,"自营,放心购,闪购,券300-40"
京东超市海氏海诺 一次性医用外科口罩 无菌三层外科灭菌口罩医用 100只独立包装 防尘防晒透气（二类医疗器械）,69.90,20万+,海氏海诺京东自营旗舰店,https://item.jd.com/100017491744.html,"自营,放心购,券999-100,3件8.8折"
维德医疗一次性成人医用口罩50只/盒 独立包装无菌防尘防柳絮轻薄透气防沙尘暴飞沫挂耳式,23.90,100万+,维德（WELLDAY）京东自营旗舰店,https://item.jd.com/100008245615.html,"自营,闪购,券300-40,2件7折"
京东京造 日式超柔 灭菌级单片装100片/盒 一次性医用口罩过滤率99% 白色成人款 （新老品随机发货）,59.90,20万+,京东京造官方自营旗舰店,https://item.jd.com/100017207732.html,"自营,秒杀,2件9折"
云南白药100只（10袋）成人医用外科口罩灭菌型一次性医用口罩三层防护含熔喷布防尘防花粉,29.99,20万+,云南白药健康生活京东自营专区,https://item.jd.com/100016921694.html,"自营,放心购,券300-40"
振德（ZHENDE)德美舒医用外科口罩灭菌独立装冬季保暖面罩 50只/盒（二类医疗器械）新老包装随机,37.50,200万+,振德（ZHENDE）京东自营旗舰店,https://item.jd.com/100014823888.html,"自营,放心购,2件8.7折"
